deal_id,creator_id,brand,category,format,campaign_month,deal_value_usd
D0432,C037,CloudNest,Beauty,Livestream,2024-06,4246.65
D0433,C057,NovaTech,Tech,Integration,2024-12,56497.13
D0434,C052,ByteBank,Beauty,Livestream,2025-05,24471.8
D0435,C053,ZenLiving,Gaming,Integration,2024-07,500
D0436,C057,PixelPlay,Tech,Dedicated Video,2024-04,107872.72
D0437,C019,MetaMart,Beauty,Short,2025-06,500
D0438,C036,ZenLiving,Beauty,Short,2024-09,500
D0439,C004,ZenLiving,Food,Integration,2024-01,500
D0440,C040,UrbanEats,Beauty,Short,2024-10,5464.12
D0441,C006,SnackHouse,Tech,Livestream,2024-04,508.27
D0442,C012,UrbanEats,Beauty,Short,2024-11,556.16
D0443,C033,PayPilot,Food,Dedicated Video,2025-01,76162.72
D0444,C011,PureSkin,Lifestyle,Livestream,2025-01,500
D0445,C012,PeakFuel,Beauty,Dedicated Video,2025-12,2946.01
D0446,C039,NovaTech,Food,Dedicated Video,2025-10,1088.13
D0447,C049,TrailGear,Gaming,Integration,2025-10,500
D0448,C059,TrailGear,Lifestyle,Livestream,2025-11,44620.5
D0449,C004,LumaBeauty,Food,Short,2025-06,500
D0450,C046,VoltEnergy,Lifestyle,Livestream,2025-01,16664.55
D0451,C010,VoltEnergy,Gaming,Short,2025-10,2155.06
D0452,C056,AeroFit,Food,Livestream,2025-11,3436.14
D0453,C028,MetaMart,Tech,Dedicated Video,2025-07,34231.72
D0454,C008,FitForge,Lifestyle,Livestream,2025-11,500
D0455,C057,NovaTech,Tech,Dedicated Video,2024-08,105413.07
D0456,C031,TrailGear,Lifestyle,Livestream,2025-05,500
D0457,C047,PeakFuel,Finance,Short,2024-02,72366.33
D0458,C055,UrbanEats,Finance,Short,2024-09,13228.65
D0459,C043,UrbanEats,Gaming,Livestream,2024-12,1069.47
D0460,C054,CoinFlow,Food,Livestream,2025-02,500
D0461,C049,UrbanEats,Gaming,Dedicated Video,2024-02,500
D0462,C034,PayPilot,Lifestyle,Livestream,2024-01,6711.76
D0463,C041,PureSkin,Lifestyle,Short,2025-02,1000.53
D0464,C047,ByteBank,Finance,Integration,2025-05,73903.59
D0465,C034,ByteBank,Lifestyle,Dedicated Video,2025-10,16215.24
D0466,C046,AeroFit,Lifestyle,Dedicated Video,2024-03,55585.18
D0467,C017,PeakFuel,Food,Short,2025-03,18870.17
D0468,C018,PixelPlay,Fitness,Dedicated Video,2025-01,57347.22
D0469,C040,PeakFuel,Beauty,Livestream,2024-06,8083.5
D0470,C037,LumaBeauty,Beauty,Short,2025-03,1442.18
D0471,C058,SnackHouse,Tech,Livestream,2025-07,531.59
D0472,C045,PeakFuel,Beauty,Livestream,2024-04,533.99
D0473,C024,ByteBank,Lifestyle,Short,2024-03,45656.84
D0474,C041,CloudNest,Lifestyle,Short,2025-04,500
D0475,C025,SnackHouse,Gaming,Dedicated Video,2025-06,1221.89
D0476,C008,GlowLab,Lifestyle,Integration,2025-09,500
D0477,C048,ByteBank,Beauty,Integration,2025-04,1454.75
D0478,C030,LumaBeauty,Gaming,Integration,2025-07,500
D0479,C052,CoinFlow,Beauty,Livestream,2024-11,26383.21
D0480,C010,SnackHouse,Gaming,Livestream,2024-06,6164.81
D0481,C050,CloudNest,Lifestyle,Integration,2024-01,16954.57
D0482,C045,CloudNest,Beauty,Integration,2024-07,500
D0483,C040,PayPilot,Beauty,Dedicated Video,2025-09,25661.08
D0484,C033,CloudNest,Food,Integration,2025-03,35501.81
D0485,C032,GlowLab,Finance,Integration,2024-06,2462.04
D0486,C060,PixelPlay,Gaming,Integration,2024-06,3593.26
D0487,C048,VoltEnergy,Beauty,Short,2024-08,1121.43
D0488,C010,UrbanEats,Gaming,Integration,2025-08,5683.97
D0489,C003,AeroFit,Gaming,Dedicated Video,2024-09,500
D0490,C037,VoltEnergy,Beauty,Integration,2024-03,3855.51
D0491,C048,CloudNest,Beauty,Integration,2024-08,1047.97
D0492,C047,NovaTech,Finance,Dedicated Video,2025-02,168624.73
D0493,C045,NovaTech,Beauty,Livestream,2024-07,500
D0494,C030,PeakFuel,Gaming,Livestream,2024-05,500
D0495,C025,GlowLab,Gaming,Short,2025-05,500
D0496,C033,PixelPlay,Food,Short,2024-02,10093.19
D0497,C009,CoinFlow,Gaming,Short,2024-08,2446.84
D0498,C033,PayPilot,Food,Livestream,2024-09,9727.99
D0499,C058,AeroFit,Tech,Short,2025-03,1286.8
D0500,C019,VoltEnergy,Beauty,Dedicated Video,2024-04,500
D0501,C044,VoltEnergy,Beauty,Integration,2025-04,500
D0502,C038,UrbanEats,Beauty,Short,2025-09,500
D0503,C058,AeroFit,Tech,Short,2024-06,1192.12
D0504,C046,LumaBeauty,Lifestyle,Short,2024-06,30234.65
D0505,C037,TrailGear,Beauty,Integration,2025-03,2717.35
D0506,C008,FitForge,Lifestyle,Dedicated Video,2025-01,500
D0507,C022,ByteBank,Finance,Short,2025-04,500
D0508,C047,GlowLab,Finance,Livestream,2024-02,40540.45
D0509,C039,SnackHouse,Food,Integration,2025-07,500
D0510,C013,SnackHouse,Food,Livestream,2024-11,4655.46
D0511,C024,AeroFit,Lifestyle,Dedicated Video,2024-10,61369.84
D0512,C052,LumaBeauty,Beauty,Livestream,2025-12,52351.92
D0513,C005,TrailGear,Fitness,Livestream,2024-03,1461.08
D0514,C036,UrbanEats,Beauty,Livestream,2024-02,500
D0515,C017,CoinFlow,Food,Short,2025-09,26160.8
D0516,C032,ByteBank,Finance,Dedicated Video,2025-08,6528.43
D0517,C024,MetaMart,Lifestyle,Dedicated Video,2024-09,41355.85
D0518,C004,PayPilot,Food,Short,2024-10,500
D0519,C021,CloudNest,Fitness,Short,2025-10,500
D0520,C027,FitForge,Gaming,Short,2024-06,8924.15
